exec_time,avg_latency,package_energy,e_cores,st_cores,ht_cores,Solutions
3.151959180831909,0.8465,710.396179,3.0,18.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.1570799350738525,0.8465,712.008728,2.0,19.0,1.0,"8,8,8,8,23,3,3,14,7,11,11,19,4,0,13,13,12,12,12,12,12,12,12"
3.167534351348877,0.8465,762.300964,4.0,17.0,1.0,"8,8,8,8,30,3,31,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.168510913848877,0.8465,710.990295,6.0,15.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,22,22,22"
3.18735671043396,0.8465,750.982422,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,7,11,11,22,4,0,13,13,12,12,12,12,12,12,12"
3.2024333477020264,0.8465,722.923218,3.0,16.0,2.0,"8,8,8,8,30,3,2,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.203636884689331,0.8465,739.515381,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,25,18,4,0,13,13,12,12,12,12,12,12,12"
3.2110679149627686,0.8465,722.67334,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,27,18,4,0,13,13,12,12,12,12,12,12,12"
3.223572015762329,0.8465,718.473083,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,20"
3.230792999267578,0.8465,718.733948,3.0,16.0,2.0,"8,8,8,8,30,3,6,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.247285842895508,0.8465,737.243958,2.0,17.0,2.0,"8,8,8,8,6,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.2824411392211914,0.8465,725.620911,7.0,14.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,16,16,16,16"
3.294649124145508,0.8465,705.18335,5.0,14.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,30,4,0,13,13,12,12,12,12,26,26,26"
3.3094871044158936,0.8465,696.940552,2.0,17.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3109350204467773,0.8465,694.779968,2.0,17.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,0,13,13,12,12,12,12,12,12,12"
3.3163952827453613,0.8465,681.398315,1.0,18.0,2.0,"10,10,10,10,3,3,3,14,7,11,11,31,4,0,13,13,12,12,12,12,12,12,12"
3.319023847579956,0.8465,691.634521,3.0,16.0,2.0,"8,8,8,8,30,3,15,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3199522495269775,0.8465,692.409607,6.0,13.0,2.0,"8,8,8,8,27,3,3,23,7,9,9,16,4,0,13,13,12,12,12,12,26,26,26"
3.3209593296051025,0.8465,774.092468,8.0,11.0,2.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,0,11,6,6,6,4,26,26,26"
3.3307650089263916,0.8465,773.088196,8.0,11.0,2.0,"21,20,15,15,24,8,8,22,2,12,7,29,5,0,0,11,6,6,6,4,26,26,26"
3.3329074382781982,0.8465,689.062622,3.0,16.0,2.0,"8,8,8,8,30,3,3,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3418684005737305,0.8465,742.160706,1.0,14.0,4.0,"6,8,8,8,9,3,3,30,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.3524231910705566,0.8465,774.465881,8.0,9.0,3.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,9,11,6,6,6,4,26,26,26"
3.3548190593719482,0.8465,808.178284,9.0,10.0,2.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,0,11,6,6,23,4,26,26,26"
3.359356641769409,0.8465,733.741272,2.0,15.0,3.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,0,13,15,12,12,12,12,12,12,12"
3.3678786754608154,0.8465,823.742249,7.0,8.0,4.0,"21,20,15,15,24,8,8,10,2,12,7,29,5,0,9,11,6,6,6,4,26,26,26"
3.3695850372314453,0.8465,742.001709,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,23,4,0,13,13,12,12,12,12,12,12,12"
3.378432035446167,0.8465,750.456299,1.0,16.0,3.0,"8,8,8,8,9,3,3,14,7,11,31,15,4,0,13,13,12,12,12,12,12,12,12"
3.378706932067871,0.8465,739.937256,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,22,4,0,13,13,12,12,12,12,12,12,12"
3.379884719848633,0.8465,782.136414,4.0,19.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,18,18"
3.381145477294922,0.8465,735.700867,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,20,4,0,13,13,12,12,12,12,12,12,12"
3.381621837615967,0.8465,786.925476,9.0,10.0,2.0,"21,20,15,15,28,8,8,17,2,12,7,29,5,0,0,11,6,6,23,4,26,26,26"
3.388279914855957,0.8465,768.825439,4.0,19.0,0.0,"9,9,9,9,5,5,5,10,10,1,31,31,7,15,2,2,13,13,13,13,13,18,18"
3.3926103115081787,0.8465,789.548584,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,12,24,29,5,0,0,11,6,6,23,4,26,26,26"
3.397390604019165,0.8465,822.001282,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,13,13"
3.4005680084228516,0.8465,744.206055,0.0,19.0,2.0,"10,10,10,10,3,3,3,14,8,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.400939702987671,0.8465,798.198303,3.0,20.0,0.0,"9,9,9,25,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,13,13"
3.403988838195801,0.8465,768.616638,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,17,7,15,2,2,13,13,13,13,13,13,13"
3.4066481590270996,0.8465,744.817383,1.0,16.0,3.0,"8,8,8,8,9,3,3,14,7,11,20,15,4,0,13,13,12,12,12,12,12,12,12"
3.4090936183929443,0.8465,750.560486,0.0,15.0,4.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,10,10,10"
3.412654399871826,0.8465,752.258911,2.0,11.0,5.0,"6,8,8,10,14,3,3,22,7,11,11,15,4,0,30,13,12,12,12,12,12,2,2"
3.414645195007324,0.8465,788.924805,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,6,6,23,4,26,26,26"
3.4159953594207764,0.8465,751.092651,1.0,12.0,5.0,"6,8,8,10,9,3,3,16,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.416123867034912,0.8465,757.330688,4.0,15.0,2.0,"9,9,9,9,5,3,20,13,10,1,30,30,7,15,2,18,12,12,12,12,12,12,12"
3.418274402618408,0.8465,741.616516,1.0,12.0,5.0,"6,8,8,10,14,3,3,22,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.420198678970337,0.8465,754.513184,0.0,21.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.420494318008423,0.8465,776.772217,6.0,17.0,0.0,"9,9,9,9,5,5,5,13,10,1,19,26,6,15,2,2,2,2,2,22,22,22,22"
3.4231393337249756,0.8465,730.704468,0.0,19.0,2.0,"8,8,8,8,3,3,3,14,9,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.4255404472351074,0.8465,741.26062,0.0,17.0,3.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,12,12,12"
3.427778720855713,0.8465,729.350708,0.0,17.0,3.0,"8,8,8,8,9,3,3,14,7,11,11,2,4,0,13,13,12,12,12,12,12,12,12"
3.428680181503296,0.8465,750.288818,1.0,10.0,6.0,"6,8,8,10,9,3,3,16,7,11,11,15,4,0,14,13,12,12,12,12,12,2,2"
3.430485963821411,0.8465,779.843994,9.0,12.0,1.0,"9,9,9,9,5,5,5,13,10,1,30,30,6,15,20,20,12,12,17,17,17,17,17"
3.435889959335327,0.8465,775.940491,3.0,20.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,18,13,13,13,13,13,13,13"
3.4381308555603027,0.8465,704.309448,3.0,14.0,3.0,"8,8,8,8,30,3,3,23,7,9,1,18,4,0,13,13,12,12,12,12,12,12,12"
3.4402246475219727,0.8465,757.10437,10.0,9.0,2.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,9,9,23,4,26,26,26"
3.4470677375793457,0.8465,769.644592,10.0,7.0,3.0,"21,20,15,10,28,8,8,17,2,13,24,29,5,0,0,11,9,9,23,4,26,26,26"
3.4517199993133545,0.8465,767.822327,9.0,10.0,2.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,9,9,7,4,26,26,26"
3.4566118717193604,0.8465,711.951294,0.0,17.0,3.0,"10,10,10,10,3,3,3,8,7,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.457160472869873,0.8465,778.922424,5.0,18.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,18,12,12,12,12,12,25,25"
3.4658150672912598,0.8465,751.791077,2.0,11.0,5.0,"6,8,8,10,9,3,23,24,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.4667153358459473,0.8465,747.264099,2.0,13.0,4.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,10,17,17"
3.470754623413086,0.8465,706.013855,0.0,17.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,12,12,12"
3.473625898361206,0.8465,700.350769,0.0,17.0,3.0,"10,10,10,10,3,7,7,14,8,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.475233316421509,0.8465,765.101257,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,11,11,23,4,26,26,26"
3.475853681564331,0.8465,772.626587,6.0,17.0,0.0,"9,9,9,9,5,5,5,13,10,1,19,26,6,15,2,2,2,2,2,31,31,31,31"
3.482722759246826,0.8465,819.199951,3.0,8.0,6.0,"6,8,8,8,8,3,3,7,7,11,14,15,4,0,24,13,12,12,25,25,10,2,1"
3.484285831451416,0.8465,828.658936,0.0,13.0,5.0,"6,8,8,8,8,3,9,7,7,11,14,15,4,0,0,13,12,12,12,12,12,2,2"
3.4880497455596924,0.8465,696.737976,1.0,16.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,12,12,28"
3.494178295135498,0.8465,701.544189,3.0,14.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,23,23,28"
3.4971461296081543,0.8465,793.028931,3.0,10.0,5.0,"6,8,8,8,8,3,3,7,7,11,14,15,4,0,24,13,12,12,18,18,10,2,2"
